,0
A,151
ABOUT,2
AFTER,2
AGAINST,1
AHA,1
AMULETS,1
AN,1
AND,6
ANYONE,1
APPARITION,1
ARE,1
Aaaaaaaargh,1
Aaaah,1
Aaah,1
Aaargh,1
Abandoning,1
Abbott,1
About,2
Abrasions,1
Abraxas,1
Absolutely,1
Abstinence,1
Acceptable,3
Accio,3
According,4
Acid,3
Across,2
Add,1
Adjust,1
Admittedly,4
Advanced,28
After,33
Again,5
Against,29
Age,1
Agree,1
Aguamenti,7
AguamentiV,1
Ah,27
Aha,2
Albus,18
Alecto,2
All,50
Alley,18
Almost,3
Alohomora,1
Along,2
Already,2
Although,9
Always,5
Am,2
Ambrosius,1
Amelia,4
Amidst,1
Among,1
Amongst,1
Amortentia,2
Amusing,1
Amy,2
Amycus,6
An,20
Anapneo,1
Ancient,4
And,349
Annoyed,2
Another,4
Answer,1
Anti,1
Antigone,1
Any,2
Anyone,5
Anyonel,1
Anything,4
Anyway,15
Apothecary,2
Apparate,17
Apparated,3
Apparating,3
Apparators,1
Apparently,12
Apparition,28
Apprehended,1
April,1
Ar,5
Arabella,1
Aragog,25
Are,29
Aren,3
Argus,4
Arithmancy,4
Ariy,2
Arkie,1
Armando,2
Army,1
Arnold,4
Around,1
Arry,4
Arthur,23
Arts,38
ArtsO,1
As,76
Ask,5
Astronomy,7
At,40
Ate,1
Au,1
Aubrey,2
August,1
Augusta,2
Aunt,9
Auntie,3
Auror,19
Aurors,13
Automatically,1
Avada,3
Avery,3
Avoid,1
Avoiding,1
Award,1
Away,1
Axebanger,2
Axminster,1
Azkaban,24
B,5
BACK,1
BANG,1
BATHROOM,1
BE,1
BEHALF,1
BIRTHDAY,1
BLOOD,1
BURIAL,1
Babberton,1
Back,4
Bad,1
Barmy,1
Barnabas,2
Baron,4
Barty,1
Bat,2
Baubles,2
Be,22
Beaming,1
Bear,1
Bearing,1
Beater,3
Beaters,6
Beauxbatons,1
Because,16
Bed,1
Been,1
Before,17
Befouled,1
Behind,3
Belby,12
Belcher,1
Believe,1
Bell,12
Bella,9
Bellatrix,48
Bending,2
Beneath,1
Benson,2
Bertie,2
Bertram,1
Bes,1
