,0
the,7746
and,4445
to,4240
Harry,3512
of,3355
a,3155
he,2747
I,2663
said,2438
was,2363
s,2169
his,2153
you,2117
that,1995
in,1860
it,1747
had,1642
at,1264
as,1157
t,1146
not,1088
with,1047
Dumbledore,1034
him,1022
for,941
on,921
Ron,877
Potter,827
her,821
He,818
Prince,801
have,784
Half,762
Blood,762
but,759
be,757
J,730
Page,729
K,729
Rowling,729
Hermione,693
she,629
out,624
all,595
they,592
were,578
up,564
been,547
from,546
what,540
them,519
into,517
is,513
me,510
who,507
this,506
The,486
could,476
so,444
would,443
You,440
an,423
It,418
back,418
did,417
we,417
there,412
Slughorn,399
do,389
Snape,377
by,376
over,373
Malfoy,372
about,369
now,366
your,365
know,363
one,360
But,352
And,349
just,348
like,346
looked,332
think,332
when,330
can,324
then,322
or,321
more,319
ve,313
time,311
are,305
down,304
see,303
their,303
around,297
very,296
though,295
don,288
if,285
no,285
Professor,281
looking,277
again,277
got,267
re,256
still,254
off,249
my,249
thought,247
than,243
ll,243
Voldemort,242
which,237
Well,233
Ginny,233
Hagrid,231
will,229
before,228
face,228
little,226
d,226
asked,224
m,217
room,216
right,213
once,212
Weasley,211
hand,208
eyes,205
She,205
What,204
seemed,204
get,204
look,202
There,200
through,198
No,198
other,198
how,197
voice,195
much,194
only,192
going,192
too,189
wand,188
something,187
behind,185
himself,185
here,180
go,178
door,178
saw,177
has,176
after,174
They,173
last,171
well,168
We,167
want,167
Yes,166
Oh,166
moment,165
might,165
turned,162
never,162
way,161
say,159
tell,159
come,159
good,158
told,157
Mrs,156
people,154
didn,154
away,154
where,153
two,152
A,151
left,151
long,150
knew,146
really,145
first,141
toward,141
even,141
head,140
upon,140
any,140
course,140
made,140
am,137
Hogwarts,136
Dark,135
us,133
Minister,131
anything,128
old,128
find,128
must,126
make,126
That,125
sure,125
heard,123
few,121
felt,120
Ministry,119
ever,119
most,118
nothing,113
man,112
Death,112
already,111
because,111
Riddle,111
So,110
school,110
front,109
great,109
some,108
let,108
open,107
why,105
both,105
feet,105
being,104
without,103
year,102
Mr,101
mean,100
better,100
Lord,100
Prime,99
take,99
trying,98
happened,98
rather,97
quite,97
took,97
while,97
sir,96
done,95
another,94
help,93
table,93
doing,93
years,92
own,92
won,92
wanted,92
Yeah,92
This,90
each,90
hear,90
found,90
these,89
gave,89
came,89
place,89
else,88
If,88
need,88
office,86
seen,86
black,86
potion,86
How,85
its,85
should,84
under,84
next,84
set,84
house,84
hands,84
McGonagall,84
standing,83
boy,82
able,82
Scrimgeour,82
His,82
against,81
stood,81
Fudge,81
many,81
memory,81
light,81
hair,80
Fred,80
enough,78
night,78
between,77
three,77
large,77
put,77
floor,77
bit,76
As,76
half,76
sitting,75
book,75
day,74
almost,74
side,74
Neville,74
things,73
however,73
mind,73
Then,72
water,72
together,72
Tom,72
our,71
thing,71
keep,71
Draco,71
isn,71
full,70
past,70
whether,70
beside,70
went,69
until,69
air,69
Now,69
inside,68
McLaggen,68
Ogden,68
wizard,67
later,66
give,66
Madam,66
Gryffindor,66
alone,65
every,65
Eaters,65
word,65
hard,65
onto,64
yet,64
wouldn,64
quickly,64
George,64
best,63
dark,63
Not,63
yes,63
across,63
raised,63
Lupin,63
Morfin,63
believe,62
Who,62
suddenly,62
bed,62
When,61
work,61
dead,61
slightly,61
mouth,61
began,61
same,60
everything,60
new,60
staring,60
quietly,60
gone,60
haven,60
Tonks,60
Luna,60
second,59
forward,59
taking,59
